Web Decisions,2007-01-01,"Web Decisions is a marketing database provider, data hygiene, data enhancement, predictive customer analytics.",10001,1000000,dd-info@deloitte.ca,(336)545-7817,,https://www.webdecisions.com,United States,North Carolina,27455,24 Flagship Cove,,https://www.webdecisions.com,https://www.facebook.com/deloitte-digital,https://www.twitter.com/webdecisions,https://www.linkedin.com/company-beta/1371446/?pathWildcard=1371446,,,,,,False,,,,0,0,Advertising,
RHM Ventures LLC,,"Seed capital financing company in Raleigh, NC.",,,,,,,United States,North Carolina,,,,,,,,,,,,,False,,,,0,1,,
DNSFilter,2015-10-01,DNS based web content filtering and threat protection,1,10,,,,https://dnsfilter.com,United States,South Carolina,29577,,,https://dnsfilter.com,https://www.facebook.com/dnsfilter,https://www.twitter.com/dnsfilter,https://www.linkedin.com/company/dnsfilter,,,,,,False,,,,735000,0,Fraud Detection,,Ken,Carnesi,1985-01-01,,https://api.crunchbase.com/v3.1/people/ken-carnesi,Mike,Schroll,1982-12-01,"A TechStars Boston Alum, who's previously raised over 1MM. His background is in webhosting and Information Security, having founded ProHosters at age 17 (acquired by Carpathia Hosting in 2004), worked at ITA Software (acquired by Google in 2010) and Boston-based Veracode. He has a Bachelors of Science in Applied Networking Systems Administration from Rochester Institute of Technology, and a Masters in Engineering Management from Tufts University.",https://api.crunchbase.com/v3.1/people/mike-schroll
Ogletree Deakins,,Ogletree Deakins is one of the largest labor and employment law firms representing management in all types of employment.,5001,10000,,,,http://www.ogletreedeakins.com,United States,South Carolina,,,,http://www.ogletreedeakins.com,https://www.twitter.com/ogletreedeakins,,,,,,,,False,,,,0,0,Consulting,
Horizon Scientific,1994-01-01,Horizon Scientific is a supplier of laboratory refrigerators and freezers.,,,,,,,United States,South Carolina,,,,,,,,,,,,,False,,,,0,0,Biopharma,
Artizan Biosciences,,Artizan Biosciences,1,10,,,,https://www.elmvc.com/project/artizan-biosciences/,United States,North Carolina,,,,https://www.elmvc.com/project/artizan-biosciences/,,,,,,,,,False,,,,3000000,0,Biotechnology,,Marcel,de Zoete,,,https://api.crunchbase.com/v3.1/people/marcel-de-zoete,Noah,Palm,,,https://api.crunchbase.com/v3.1/people/noah-palm
Old Dominion Freight Line,1934-01-01,"ODFL is a leading, less-than-truckload, union-free company providing premium service to all its customers.",10001,1000000,socialmedia@odfl.com,(336)889-5000,,http://www.odfl.com,United States,North Carolina,27360,500 Old Dominion Way,,http://www.odfl.com,https://www.facebook.com/OldDominionFreightLine,https://twitter.com/odfl_inc,https://www.linkedin.com/company/old-dominion-freight-line,,,,,,False,,nasdaq,ODFL,0,0,Transportation,
Tile Grout Carpet of America,1980-01-01,"Rug & Carpet Cleaning, Tile Cleaning, Grout Re-Coloring & Tiling Restoration",1,10,tilegroutcarpet@yahoo.com,(843)446-0235,,http://www.tilegroutcarpet.com/,United States,South Carolina,29577,830 44TH AVE. N UNIT X-4,,http://www.tilegroutcarpet.com/,https://www.facebook.com/tile-grout-carpet-of-america-997841030253446,,,,,,,,False,,,,0,0,Real Estate,
Landrum Human Resource,,"human resource consulting firm, HR outsourcing, HR staffing, risk management solutions.",51,100,landrumhr7@yahoo.com,(828)299-3038,,http://www.landrumhr.com/,United States,North Carolina,28803,2 Walden Ridge Dr #15,,http://www.landrumhr.com/,https://www.facebook.com/landrumstaffing,https://www.twitter.com/landrumhr,https://www.linkedin.com/company/landrum-hr,,,,,,False,,,,0,0,Consulting,
Tei Consulting Group,2012-10-15,"Tei Consulting Group is a marketing firm based in Charlotte, NC.",11,50,teiconsultinggroupinc@gmail.com,+7049101892,"[u'TCG', u'TEI Consulting Group', u'TCG Inc.']",http://teiconsultinggroup.com,United States,North Carolina,28273,10926 South Tryon Street,#e,http://teiconsultinggroup.com,https://www.facebook.com/TCGIncoporated/,https://twitter.com/TeiConsultingGR,https://www.linkedin.com/company/tei-consulting-group,,,,,,False,,,,0,0,Consulting,,Okletey,Wilson-tei,,,https://api.crunchbase.com/v3.1/people/okletey-wilson-tei
Clarendon School District Two,,Clarendon School District Two,,,changeme@changeme.org,803-435-4435,,http://www.clarendon2.k12.sc.us/,United States,South Carolina,29102,15 Major Dr.,,http://www.clarendon2.k12.sc.us/,https://www.facebook.com/clarendondistricttwo,,,,,,,,False,,,,0,1,,
