uuid,company_name,founded,short_bio,min_employees,max_employees,email ,phone_number,previous_name,website,country,region,zip_code,street_address1,street_address2,website2,facebook,twitter,linkedin,,,,,,FALSE,,,,0,0,Consulting,,,,,,,,,,,,,,,,
2ae1da4a0a1e40caa5d5cec4897e8bae,Left Hook,,Left Hook Digital is a consultancy and development firm.,,,,,,https://lefthookdigital.com/,United States,North Carolina,3824,20 Madbury Road #3,,https://lefthookdigital.com/,https://twitter.com/lefthookdigital,https://www.linkedin.com/company/lefthookdigital/,,,,,,,FALSE,,,,0,0,Consulting,,,,,,,,,,,,,,,,
1783119384e24db6b12533f9b842234c,Sterling Entertainment Group,1/1/84,"Sterling Entertainment Group is a manufacturer of cassettes, video and audio tapes, DVDs & computer software products.",,,,,,http://www.uavco.com/,United States,South Carolina,29708,2200 Carolina Place,,http://www.uavco.com/,,,,,,,,,FALSE,,,,0,0,Manufacturing,,,,,,,,,,,,,,,,
eaa6d77245e34d7abc8e4417c5cc483e,SpendBoss,1/1/13,SpendBoss is a provider of a platform for spend management and analytics services,,,,,,http://www.spendboss.com/,United States,North Carolina,28202,222 South Church Street,,http://www.spendboss.com/,https://www.facebook.com/pages/Spendboss/1597534617165109,https://twitter.com/spendboss,https://www.linkedin.com/company/spendboss/,,,,,,FALSE,,,,0,0,Computer,Software,,,,,,,,,,,,,,,
cbe17592d84d46d2a2f4b19f7041626e,Spencer Health Solutions,1/1/15,Spencer Health Solutions is a transforming healthcare by moving care delivery to the home,,,,,,https://www.helloimspencer.com/,United States,North Carolina,27560,"2501 Aerial Center Pkwy,",Ste 100,https://www.helloimspencer.com/,,,,,,,,,FALSE,,,,0,0,Medical Device,Health Care,,,,,,,,,,,,,,,
24312f51dab7407791982fb203baec79,SonoVol,1/1/12,SonoVol is a Developer of a fully-automated benchtop ultrasound platform,1,10,,844-766-6865,,https://sonovol.com/,United States,North Carolina,27709,"2 Davis Drive,",,https://sonovol.com/,https://twitter.com/SonoVol,https://www.linkedin.com/company/sonovol/,,,,,,,FALSE,,,,0,0,Product Research,Medical,,,,,,,,,,,,,,,
5e394ad99f584c03a92dfe46601c8b57,Southern Trapper,1/1/13,Southern Trapper is an offers durable exotic leather goods for firearm & sporting enthusiasts.,11,50,,843-501-2771,,https://www.thesoutherntrapper.com/,United States,South Carolina,29487,"1917 Liberia Rd, Wadmalaw Island,",,https://www.thesoutherntrapper.com/,https://www.facebook.com/TheSouthernTrapper/,https://www.linkedin.com/company/southern-trapper/,,,,,,,FALSE,,,,0,0,Fashion,,,,,,,,,,,,,,,,
36ff22966c5f4b7dbec1fa27ae12727c,"Ellis Associates, Inc.",9/23/13,"Ellis Associates, Inc. is a boutique investor relations and financial consultancy.",51,100,ellisassociates1@yahoo.com,252-527-0132,"[u'EA, Inc.']",http://www.wiseintro.co/ellisassociatesinc,United States,North Carolina,28501,,,http://www.wiseintro.co/ellisassociatesinc,https://www.facebook.com/pg/Ellis-Associates-Inc-Business-Coaching-Program-276528576292663/services/?ref=page_internal,https://twitter.com/ellisassociate,https://www.linkedin.com/in/holman-skinner-b17417ab/,,,,,,FALSE,,,,0,0,Social Media Marketing,Social Media Management,Advertising,Web Design,Consulting,Public Relations,,,,,,,,,,,
955a4d09fe2d4d4e89c350c51c4006db,Project 320,1/1/19,"Digital agency located in Raleigh, NC. We believe that you deserve more from your digital agency.",1,10,bill@project320.com,773-791-3197,[u'Project320'],https://project320.com,United States,North Carolina,27587,,,https://project320.com,https://twitter.com/Project320Team,https://www.linkedin.com/company/project-320/about/,,,,,,,FALSE,,,,0,0,Digital Marketing,SEO,Web Design,Consulting,,,,,,,,,,,,,
16d521b5cc7846ca90ad2884d26eb103,Xtreme Power Solutions,,Xtreme Power Solutions is a multi-carrier shipping solution in their online store.,,,,(512) 268-8191,[u'Power Solutions'],https://xtremepowersolutions.com/,United States,South Carolina,78640,1120 Goforth Rd Kyle,,https://xtremepowersolutions.com/,,,,,,,,,FALSE,,,,0,0,Shipping,Shopping,Apps,,,,,,,,,,,,,,
b612bd3e7ab6465baa32429ba24c2702,SeaChange Technologies,1/1/14,SeaChange Technologies provides a sustainable solution.,,,info@seachangetechnologies.com,,,https://www.seachangetechnologies.com/,United States,North Carolina,27613,4200 Glen Erin Way,,https://www.seachangetechnologies.com/,https://www.facebook.com/SeaChangeTechnologies/,https://twitter.com/seachangewater,https://www.linkedin.com/company/seachange-technologies,,,,,,FALSE,,,,0,0,Water,,,,,,,,,,,,,,,,
