uuid,first_name,last_name,born_on,bio,api_path,first_name1,last_name1,born_on1,bio1,api_path1,first_name2,last_name2,born_on2,bio2,api_path2,first_name3,last_name3,born_on3,bio3,api_path3,first_name4,last_name4,born_on4,bio4,api_path4,first_name5,last_name5,born_on5,bio5,api_path5,first_name6,last_name6,born_on6,bio6,api_path6,first_name7,last_name7,born_on7,bio7,api_path7
2ae1da4a0a1e40caa5d5cec4897e8bae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783119384e24db6b12533f9b842234c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eaa6d77245e34d7abc8e4417c5cc483e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbe17592d84d46d2a2f4b19f7041626e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24312f51dab7407791982fb203baec79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e394ad99f584c03a92dfe46601c8b57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36ff22966c5f4b7dbec1fa27ae12727c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955a4d09fe2d4d4e89c350c51c4006db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16d521b5cc7846ca90ad2884d26eb103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b612bd3e7ab6465baa32429ba24c2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86255283f02c44b0b7d69dfba200eba8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23d6a4e312fb49b8be0c7a8ae5c5aeb3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e35edadeaf204cc0bd7ef5baa8543471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31776394170c4e5f85f7ba829922d990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3107f6bceba48a58132bd88dc5f5a1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e45cbbaa0d7b41e5b5758a85afecb3d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36003756f5ad4dbda27314fad896273e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2662a269425c40dfbafdaf83b77f9318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29e6c17a0858448882d6977b42eb0288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5cb43739f9b4483a82012e1db62381a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e468e489ede4ab792014a06900ad755,Nick,Ghitelman,,,https://api.crunchbase.com/v3.1/people/nick-ghitelman,Thomas,Burkhardt,,,https://api.crunchbase.com/v3.1/people/thomas-burkhardt,Anthony,Volpe,,,https://api.crunchbase.com/v3.1/people/anthony-volpe,,,,,,,,,,,,,,,,,,,,,,,,,
1c4c1f78897942d4ab48cb2010a60953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8d525f8c8f245fcac74b6cd57377d30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b72be454cc5f4ae98f72469f071af784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fff17033a1e24d4c8b2a156083f92725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c091373e8a0d46b7b0638af3e957e4a2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c264fbed537146348e9d83078dee67ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3705fd092d24dc3bbd07c1b5311ab96,Robert,Morgan,,Founder of CampusCribz.,https://api.crunchbase.com/v3.1/people/robert-morgan-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98df41e6f3944ae3a70b94cf351d79b4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545dcceb408f4b79a0ccfaa6a293a41b,Vikram,Sethuraman,,,https://api.crunchbase.com/v3.1/people/vikram-sethuraman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959d917708e844acba98ca9ebbfae483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df21e10afec44da2afd820eecb248b81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5e179ada3c924f1686f9bbb7216b567f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8cfc68b578b84e47a83133c078c1d532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a1b6bfc683545a497de8951dbbfc58b,Randy,Roof,,,https://api.crunchbase.com/v3.1/people/randy-roof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a82c0a1bc4b7432582d1f7d55380a1e9,David,Mitchell,,"David Mitchell is Founder, President, and CEO at Augmenta Spine.",https://api.crunchbase.com/v3.1/people/david-mitchell-1f09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ef31e7592614c49ac30a50c1a6a3ba1,Shaler,P. Houser,,"Shay is a veteran of the technology industry, with experience as an entrepreneur, investor, and senior officer of various organizations. He's a 4-time co-founder and CEO, most recently as CEO of Green Cloud Technologies, where he led the company to three straight Inc. 5000 appearances, including #73 in 2015.  After receiving a B.A. from The Citadel in 1991 and serving in various roles with a telecommunications resellers, Shay co-founded Seruus Telecom Fund, L.P., a seed fund specializing in telecommunications services investments.From there, he co-founded and Nuvox Communications, an integrated communications company which filed for its IPO In April 2000 and was then sold to Windstream for over $600mm in 2010.  Shay originally served as founder and CEO and helped grow the company to over $30 million in annual revenue with 250 employees.Shay also founded and sold UCI Communications, LLC, a Cisco technology integrator, to Black Box (NASDAQ: BBOX) in April 2008.Green Cloud Technologies is a culmination of Shayâ€™s experience and the vision he developed as a result.When heâ€™s not working, Shay enjoys spending time with his family. He also goes inshore fishing in the tidal rivers and along the coast of Alabama and blue water fishing around the Gulf of Mexico and Caribbean any chance he gets.",https://api.crunchbase.com/v3.1/people/shaler-p-houser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ccd13a986c542e9aff0767a003dc776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebba99f10f41481baece7f30ddb65b78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a463633b50a4193bf656e4ea8c8f66f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33ebc6cf80c3408ba2f2a5e516c4c576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895e0560231c49e1bfa39687e3dc4903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55100156ba374728bd74ef33dcd21a0a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d93d1fc7914b4432ba40b13b9e0ece7a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b822232476f643039e31650c5590f119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a1f56aca0fa4435b17cc9194142c28c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7a975c1512d4b809136d9d82b24bc57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619fbd8f9901468ab260fe61cb675c94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ec0a3a4af4c4136972e4335b9a44a28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2da0bb05ec3e4a8c8f0a574d8c4e561e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8a6646a2ca3460db8304176243d7ab3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1923e9ef43240d587c6ec8e4bbf9605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbc782594d8d4eb59ef44e3c796c7946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0291e0754cf24a9bbfe20788bb583476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6610d1d620354e99b5a0144e8dd5a235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22bb1ee83b4140769690dc86e8057d85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a645718ae934969aa643cfdc1db85e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
877a36da050f40bab39d22c352905555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630e880a91264550ac00b8775704f70c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfc4480d79d64ddf91a136d88834f92a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04bf65c701b64d5c963c18eb964e0624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30440d5a6f51467884beb0fc8f9d6012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e463b64e619e455ca9e101cbc4162e75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23dae907d3dd4df988941c6f68497343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c05be65f9221474a94dba4ab1643207f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c06735d2bfe4945a475363bed3ca94f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590d864f91f74743ac63c29bef92429c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cda44d62e40c4ab8bddf3d24a40b3f4e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f6c86dbbb1c49229f554c64a4fcffa4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e30b1b3149ac4096a2152dc9420463a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f2fd7a235004bbea82c91b9cdf0a38c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c79086078b60469090f87d40490a7700,Eric,Pfahl,,"Depth, variety, and creative problem-solving are the hallmarks of Ericâ€™s 20-year professional life. He spent a decade studying the formation and evolution of stars and planets. Eric then transitioned to the defense industry, where he provided technical guidance on chemical and explosive hazards, ballistics, radar, and signal processing. Eager to make a major change, both professionally and geographically, Eric moved to North Carolina and has worked for several Durham companies, growing and leveraging experience in machine learning, software engineering, and product development. Eric holds a Bachelor of Arts in Physics from Franklin & Marshall College and a Ph.D. in Physics from MIT.",https://api.crunchbase.com/v3.1/people/eric-pfahl,Alex,Krawchick,,"Alex is a habitual user of both sides of his brain and operates at the intersection of advanced data analytics and marketing and sales strategy and operations. Alex has an insatiable desire to use data and analytics for making informed, actionable business decisions. Prior to founding Klearly, Alex led various marketing teams and operations initiatives at companies such as HireVue, SAS, Duke, and IBM. Alex has earned industry marketing automation and ABM certifications, conducted various industry workshops on sales and marketing operations, and has been asked to speak at industry conferences such as Oracleâ€™s Modern Marketing Experience and SiriusDecisionsâ€™ Summit. Alex has a Bachelor of Arts in Psychology from the University of Rhode Island and a Master of Science in Predictive Analytics from Northwestern University.",https://api.crunchbase.com/v3.1/people/alex-krawchick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75d9d5959cfc40d29209b0fba10640ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0f06ce513ae6485c8ead1ed7019af1b9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517469912024436bab518d531d867fa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eca84a9a2a5e473389e7c35b8741e975,Andrew,L. Fox,,,https://api.crunchbase.com/v3.1/people/andrew-l-fox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b27ef9fe83f943da937f515c9c84b4e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3af840af95534933b6f68e8cd7b357c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798443d31dec4a3982c6ec2f4654e29b,Kurtis,Keller,,,https://api.crunchbase.com/v3.1/people/kurtis-keller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b7cf094def542799ef923afb920efc7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c273d66d26404709bd099c73549eef3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4971db1d3e5b48d494356a779263f641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c8b97f49f06646e99862f3b0dbb01af8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70ae515052a64823845baca2518415a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89f828c47b8a4266bacbc5226060e871,Leon,DeJournett,,"Dedicated to improving healthcare through technological innovation. Utilizing my 30 years of clinical experience in the ICU/Hospital environment, I am striving to improve healthcare through improvement of existing medical devices/processes and through creation of innovative new medical devices. Where applicable, I will attempt to incorporate artificial intelligence into all new devices I work on. Through close observation of the nursing staff/fellow physicians I have gained an appreciation of the impediments to their daily activities and will strive to incorporate these lessons learned into any projects I work on.",https://api.crunchbase.com/v3.1/people/leon-dejournett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7082529f8b645aba2c54bbd176bf7f0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64a0692ce5104fdeb1b1ff068eed692e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff79a33d5fa44cbb81480d8e39be8eb9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fae9c12c731f4a6397639c0b5b6ed8f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8266038e267b448280b62de421e47827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401709c3c2ad4c8eb9bf95fedb97f668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67f1331d33624411aaa3e8f39dd5dcd7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0c19dab34d1744b8a8a26fe9b54b49df,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51404ac5573d41c0934e151065046789,Graeme,Laronge,,Graeme Laronge is the Founder & CEO at Hawks Tixx LLC.,https://api.crunchbase.com/v3.1/people/graeme-laronge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2addc75fabba43beb0ecf72b0a3a60b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0fac18a1c0cc4533a4fcbf8ea3595dd9,Jeremy,Berman,,Jeremy Berman is theFounder of GoodUnited.,https://api.crunchbase.com/v3.1/people/jeremy-berman-5974,Nick,Black,,,https://api.crunchbase.com/v3.1/people/nick-black-ae38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff4ddc9c6f9b492d8dbe7eabd583880d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fda6eac355ab45cf9d17ee14545f6a92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb63476860084262974f51df9f7f2a8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ae165b386cb4ddd87919b500453ee00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2cc32d3e09814134b5e0979a98196d55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43eaa5f5837e4a5d843ad0b73c8e3e3c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6ac32e1f6ae4f5e8e04cb4fa3b081aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738ff666ec1b49eaaa50995fa332d6ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0e7738997a24535b93ac719144731f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cfd997f9aca74089adc263b921c9baf0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82b40184a8ed4f2bb68dd872013bd3b4,Jesse,Leadbetter,,,https://api.crunchbase.com/v3.1/people/jesse-leadbetter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80ac5c332ac14e5d88bdda476d7be492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b20d3b41d8bc40bfb44ccf6612680bf0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c05329a3ac9c4d6a82691202432aad79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04c8d570f8d34c3d894bc7b9db8906ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
